Crop, Ph
Bajra,3
Banana,6.5
Barley,3
Bean,5.5
Black pepper,6.4
Blackgram,5
Bottle Gourd,6.5
Brinjal,5.5
Cabbage,5.5
Cardamom,4.5
Carrot,5.5
Castor seed,5
Cauliflower,6
Chillies,5.5
Colocosia,5.5
Coriander,8
Cotton,7
Cowpea,6
Drum Stick,6.4
Garlic,6.1
Ginger,5
Gram,6.1
Grapes,6.5
Groundnut,5
Guar seed,5
Horse-gram,5
Jowar,6
Jute,7.4
Khesari,7.8
Lady Finger,6.1
Lentil,7
Linseed,5
Maize,5.5
Mesta,4.5
Moong(Green Gram),6.3
Moth,4.01
Onion,7.3
Orange,6
Papaya,6.9
Peas & beans (Pulses),6.1
Pineapple,5.8
Potato,6.3
Raddish,7.3
Ragi,5.1
Rice,5
Safflower,5
Sannhamp,5.8
Sesamum,5.5
Soyabean,6.9
Sugarcane,5
Sunflower,6.1
Sweet potato,5.6
Tapioca,5.1
Tomato,5
Turmeric,4.5
Urad,6.8
Varagu,5.5
Wheat,5
